num_leaves,learning_rate,min_data_in_leaf,metric,verbose,force_row_wise,deterministic,num_threads,training_loss,val_loss,num_trees,time_start,time_duration,iterations,truncate_rows,fill_na,columns_used,user
4000,0.01,20,mse,-1,True,True,25,8.96618783702685,9.293905075133315,3477,2021-06-14 19:53:32.488783,0 days 07:42:07.800651,3477,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
50,0.01,20,mse,-1,True,True,25,9.387066313065308,9.423124302159652,34625,2021-06-20 03:03:39.122783,1 days 02:04:29.667759,34625,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
100,0.01,20,mse,-1,True,True,25,9.404125442018724,9.437257881837184,15179,2021-06-21 05:08:09.565426,0 days 12:51:28.062507,15179,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
200,0.01,20,mse,-1,True,True,25,9.31487295281887,9.377612800008295,13531,2021-06-21 17:59:37.776754,0 days 13:38:54.244144,13531,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
500,0.01,20,mse,-1,True,True,25,9.32830205463535,9.385433687394029,4888,2021-06-22 07:38:37.765171,0 days 07:20:28.448187,4888,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
1000,0.01,20,mse,-1,True,True,25,9.201003231531493,9.33494879631508,5407,2021-06-22 14:59:07.049785,0 days 10:13:26.616788,5407,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
2000,0.01,20,mse,-1,True,True,25,9.145691384134723,9.325026520807585,3624,2021-06-23 01:12:34.231035,0 days 07:47:53.480724,3624,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
4000,0.01,20,mse,-1,True,True,25,8.96618783702685,9.293905075133315,3477,2021-06-23 09:00:27.882783,0 days 09:15:08.262502,3477,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
6000,0.01,20,mse,-1,True,True,25,8.846253235707081,9.283298890815034,3210,2021-06-23 18:15:36.651700,0 days 07:50:03.013295,3210,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
6000,0.005,20,mse,-1,True,True,25,8.922756477132236,9.2916480219346,5259,2021-06-24 02:05:40.142389,0 days 16:17:45.235435,5259,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
6000,0.02,20,mse,-1,True,True,25,8.859092726690971,9.286795534699325,1554,2021-06-24 18:23:25.967734,0 days 03:05:29.174997,1554,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
6000,0.05,20,mse,-1,True,True,25,8.921054170456275,9.29792985707618,531,2021-06-24 21:28:55.299113,0 days 00:54:06.957380,531,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
6000,0.1,20,mse,-1,True,True,25,9.033517665980206,9.324153593917227,198,2021-06-24 22:23:02.512394,0 days 00:18:43.464620,198,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
6000,0.2,20,mse,-1,True,True,25,9.142913963094538,9.361547150392791,74,2021-06-24 22:41:46.124698,0 days 00:08:16.496680,74,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
6000,0.01,1,mse,-1,True,True,25,8.934927840754453,9.298534323924551,2514,2021-06-24 22:50:02.778325,0 days 06:05:04.419120,2514,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
6000,0.01,5,mse,-1,True,True,25,8.906298656280992,9.294260113910967,2699,2021-06-25 04:55:07.381025,0 days 07:30:14.787056,2699,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
6000,0.01,15,mse,-1,True,True,25,8.885953452040319,9.289237727974411,2883,2021-06-25 12:25:23.224367,0 days 07:16:53.334536,2883,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
6000,0.01,18,mse,-1,True,True,25,8.919648689574364,9.28913366097545,2633,2021-06-25 19:42:17.080372,0 days 09:56:18.894391,2633,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
6000,0.01,22,mse,-1,True,True,25,8.875677286612786,9.28476623706558,2969,2021-06-26 05:38:36.551408,0 days 10:13:53.370128,2969,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
6000,0.01,25,mse,-1,True,True,25,8.89563849936647,9.288145679794592,2856,2021-06-26 15:52:30.467722,0 days 10:05:49.804571,2856,,,"job_title,pay_type,hours,day_of_week,perc_hours_today_before,perc_hours_yesterday_before,perc_hours_tomorrow_before,hours_l1,hours_l2,hours_l3,hours_l4,hours_l5,hours_l6,hours_l7,hours_l14,hours_l21,hours_l28",rtjoa
